ID,en,hu,Comment
ID50,Adventure racing,,
ID35,Aquabike - swim and bike,,
ID34,Aquathlon - swim and run,,
ID41,Cycling - BMX,,
ID3,Cycling - cyclocross,,
ID55,Cycling - fat bike,,
ID4,Cycling - mtn cross-country,,
ID5,Cycling - mtn downhill,,
ID37,Cycling - mtn enduro,,
ID6,Cycling - road,,
ID54,Cycling - track,,
ID40,Dog racing,,
ID25,Duathlon - bike and run,,
ID51,Duathlon - run and shoot,,
ID52,Hiking,,
ID39,Horse racing,,
ID7,Ice-skating,,
ID23,Inline skating,,
ID8,Motor sports,,
ID29,Motor sports - auto,,
ID30,Motor sports - boat,,
ID31,Motor sports - motorcycle,,
ID32,Motor sports - snowmobile,,
ID33,Motor sports - truck,,
ID58,Nordic walking,,
ID24,Orienteering,,
ID22,Other,,
ID26,Paddling,,
ID1,Paddling - canoe,,All values must be less than 50 characters
ID2,Paddling - kayak,,
ID48,Paddling - outrigger,,
ID47,Paddling - paddleboard,,
ID42,Paddling - SUP,,
ID45,Paddling - surfski,,
ID28,Race walking,,
ID10,Rowing,,
ID46,Running,,
ID11,Running - cross-country,,
ID56,Running - hill,,
ID49,Running - obstacle course,,
ID12,Running - road,,
ID57,Running - stairs,,
ID13,Running - track,,
ID27,Running - trail,,
ID14,Sailing,,
ID15,Skateboarding,,
ID43,Ski mountaineering,,
ID16,Skiing - biathlon,,
ID17,Skiing - cross-country,,
ID18,Skiing - downhill,,
ID9,Skiing - rollerskiing,,
ID19,Snowboarding,,
ID36,Snowshoeing,,
ID44,Soap box derby,,
ID38,Swimming - open water,,
ID20,Swimming - pool,,
ID53,Trekking,,
ID21,Triathlon,,
